Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2020,AQS,510870014,1,0.2,ppm,2,MathScience Innovation Center,7,29,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/3/2020,AQS,510870014,1,0.3,ppm,3,MathScience Innovation Center,24,100,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/4/2020,AQS,510870014,1,0.3,ppm,3,MathScience Innovation Center,24,100,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/5/2020,AQS,510870014,1,0.3,ppm,3,MathScience Innovation Center,24,100,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/6/2020,AQS,510870014,1,0.5,ppm,6,MathScience Innovation Center,24,100,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/7/2020,AQS,510870014,1,0.6,ppm,7,MathScience Innovation Center,24,100,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/8/2020,AQS,510870014,1,0.4,ppm,5,MathScience Innovation Center,24,100,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/9/2020,AQS,510870014,1,0.4,ppm,5,MathScience Innovation Center,24,100,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/10/2020,AQS,510870014,1,0.3,ppm,3,MathScience Innovation Center,24,100,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/11/2020,AQS,510870014,1,0.2,ppm,2,MathScience Innovation Center,24,100,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/12/2020,AQS,510870014,1,0.4,ppm,5,MathScience Innovation Center,24,100,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/13/2020,AQS,510870014,1,0.5,ppm,6,MathScience Innovation Center,22,92,42101,Carbon monoxide,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
