Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2017,AQS,490353006,1,0.5,ppm,6,Hawthorne,19,79,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/2/2017,AQS,490353006,1,0.6,ppm,7,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/3/2017,AQS,490353006,1,1.2,ppm,14,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/4/2017,AQS,490353006,1,0.5,ppm,6,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/5/2017,AQS,490353006,1,0.4,ppm,5,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/6/2017,AQS,490353006,1,0.7,ppm,8,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/7/2017,AQS,490353006,1,1.3,ppm,15,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/8/2017,AQS,490353006,1,0.9,ppm,10,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/9/2017,AQS,490353006,1,0.5,ppm,6,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/10/2017,AQS,490353006,1,0.6,ppm,7,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/11/2017,AQS,490353006,1,0.4,ppm,5,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/12/2017,AQS,490353006,1,0.4,ppm,5,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/13/2017,AQS,490353006,1,0.5,ppm,6,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/14/2017,AQS,490353006,1,0.4,ppm,5,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/15/2017,AQS,490353006,1,0.3,ppm,3,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/16/2017,AQS,490353006,1,0.4,ppm,5,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/17/2017,AQS,490353006,1,1,ppm,11,Hawthorne,18,75,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/18/2017,AQS,490353006,1,1,ppm,11,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/19/2017,AQS,490353006,1,1.7,ppm,19,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/20/2017,AQS,490353006,1,1.3,ppm,15,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/21/2017,AQS,490353006,1,0.9,ppm,10,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/22/2017,AQS,490353006,1,0.9,ppm,10,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/23/2017,AQS,490353006,1,0.4,ppm,5,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/24/2017,AQS,490353006,1,0.3,ppm,3,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/25/2017,AQS,490353006,1,0.3,ppm,3,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/26/2017,AQS,490353006,1,0.4,ppm,5,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/27/2017,AQS,490353006,1,0.6,ppm,7,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/28/2017,AQS,490353006,1,0.5,ppm,6,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/29/2017,AQS,490353006,1,0.6,ppm,7,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/30/2017,AQS,490353006,1,0.6,ppm,7,Hawthorne,24,100,42101,Carbon monoxide,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
