Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2019,AQS,40191014,1,0.1,ppm,1,22ND & ALVERNON,19,79,42101,Carbon monoxide,46060,"Tucson, AZ",4,Arizona,19,Pima,32.20739,-110.910619
1/2/2019,AQS,40191014,1,0.3,ppm,3,22ND & ALVERNON,24,100,42101,Carbon monoxide,46060,"Tucson, AZ",4,Arizona,19,Pima,32.20739,-110.910619
1/3/2019,AQS,40191014,1,0.5,ppm,6,22ND & ALVERNON,24,100,42101,Carbon monoxide,46060,"Tucson, AZ",4,Arizona,19,Pima,32.20739,-110.910619
1/4/2019,AQS,40191014,1,0.6,ppm,7,22ND & ALVERNON,24,100,42101,Carbon monoxide,46060,"Tucson, AZ",4,Arizona,19,Pima,32.20739,-110.910619
1/5/2019,AQS,40191014,1,0.6,ppm,7,22ND & ALVERNON,24,100,42101,Carbon monoxide,46060,"Tucson, AZ",4,Arizona,19,Pima,32.20739,-110.910619
1/6/2019,AQS,40191014,1,0.5,ppm,6,22ND & ALVERNON,24,100,42101,Carbon monoxide,46060,"Tucson, AZ",4,Arizona,19,Pima,32.20739,-110.910619
1/7/2019,AQS,40191014,1,0.6,ppm,7,22ND & ALVERNON,24,100,42101,Carbon monoxide,46060,"Tucson, AZ",4,Arizona,19,Pima,32.20739,-110.910619
1/8/2019,AQS,40191014,1,0.6,ppm,7,22ND & ALVERNON,24,100,42101,Carbon monoxide,46060,"Tucson, AZ",4,Arizona,19,Pima,32.20739,-110.910619
1/9/2019,AQS,40191014,1,0.5,ppm,6,22ND & ALVERNON,24,100,42101,Carbon monoxide,46060,"Tucson, AZ",4,Arizona,19,Pima,32.20739,-110.910619
1/10/2019,AQS,40191014,1,0.6,ppm,7,22ND & ALVERNON,24,100,42101,Carbon monoxide,46060,"Tucson, AZ",4,Arizona,19,Pima,32.20739,-110.910619
