Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,350010023,1,36.3,ppb,34,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/2/2018,AQS,350010023,1,39.8,ppb,37,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/3/2018,AQS,350010023,1,41,ppb,39,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/4/2018,AQS,350010023,1,42.8,ppb,40,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/5/2018,AQS,350010023,1,43.8,ppb,41,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/6/2018,AQS,350010023,1,40.4,ppb,38,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/7/2018,AQS,350010023,1,18.3,ppb,17,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/8/2018,AQS,350010023,1,40.5,ppb,38,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/9/2018,AQS,350010023,1,39.8,ppb,37,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/10/2018,AQS,350010023,1,28.9,ppb,26,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/11/2018,AQS,350010023,1,13.7,ppb,12,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/12/2018,AQS,350010023,1,45.2,ppb,42,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/13/2018,AQS,350010023,1,34.3,ppb,32,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/14/2018,AQS,350010023,1,32.2,ppb,30,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/15/2018,AQS,350010023,1,34.1,ppb,32,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/16/2018,AQS,350010023,1,33.9,ppb,31,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/17/2018,AQS,350010023,1,39.1,ppb,37,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/18/2018,AQS,350010023,1,39.2,ppb,37,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/19/2018,AQS,350010023,1,45.5,ppb,42,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/20/2018,AQS,350010023,1,38.4,ppb,36,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/21/2018,AQS,350010023,1,7,ppb,7,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/22/2018,AQS,350010023,1,14.7,ppb,13,DEL NORTE HIGH SCHOOL,21,88,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/23/2018,AQS,350010023,1,34.9,ppb,32,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/24/2018,AQS,350010023,1,45.7,ppb,42,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/25/2018,AQS,350010023,1,40.1,ppb,38,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/26/2018,AQS,350010023,1,46.2,ppb,43,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/27/2018,AQS,350010023,1,44.3,ppb,42,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/28/2018,AQS,350010023,1,40.4,ppb,38,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/29/2018,AQS,350010023,1,40.6,ppb,38,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/30/2018,AQS,350010023,1,45.6,ppb,42,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/31/2018,AQS,350010023,1,45.4,ppb,42,DEL NORTE HIGH SCHOOL,21,88,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/1/2018,AQS,350010023,1,49.4,ppb,46,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/2/2018,AQS,350010023,1,41.9,ppb,39,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/3/2018,AQS,350010023,1,36.7,ppb,34,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/4/2018,AQS,350010023,1,34.9,ppb,32,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/5/2018,AQS,350010023,1,40.5,ppb,38,DEL NORTE HIGH SCHOOL,22,92,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/6/2018,AQS,350010023,1,30.2,ppb,28,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/7/2018,AQS,350010023,1,22.8,ppb,21,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
