Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2021,AQS,510130020,1,14.2,ppb,13,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/2/2021,AQS,510130020,1,13.1,ppb,12,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/3/2021,AQS,510130020,1,13.3,ppb,12,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/4/2021,AQS,510130020,1,17.2,ppb,16,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/5/2021,AQS,510130020,1,17.6,ppb,16,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/6/2021,AQS,510130020,1,7.5,ppb,7,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/7/2021,AQS,510130020,1,21.1,ppb,20,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/8/2021,AQS,510130020,1,17.3,ppb,16,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/9/2021,AQS,510130020,1,6.8,ppb,6,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/10/2021,AQS,510130020,1,35.5,ppb,33,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/11/2021,AQS,510130020,1,42.7,ppb,40,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/12/2021,AQS,510130020,1,36.2,ppb,34,Aurora Hills Visitors Center,24,100,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
1/13/2021,AQS,510130020,1,40.2,ppb,38,Aurora Hills Visitors Center,23,96,42602,Nitrogen dioxide (NO2),47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,Virginia,13,Arlington,38.8577,-77.05922
