Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-01-20,AQS,202090021,1,29.8,ppb,27,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-02-20,AQS,202090021,1,22.2,ppb,21,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-03-20,AQS,202090021,1,14.6,ppb,13,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-04-20,AQS,202090021,1,25.4,ppb,24,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-05-20,AQS,202090021,1,26.9,ppb,25,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-06-20,AQS,202090021,1,35.3,ppb,33,JFK,18,75,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-07-20,AQS,202090021,1,33.1,ppb,31,JFK,22,92,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-08-20,AQS,202090021,1,27.8,ppb,25,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-09-20,AQS,202090021,1,32.1,ppb,30,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-10-20,AQS,202090021,1,11.9,ppb,10,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-11-20,AQS,202090021,1,16.3,ppb,15,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01-12-20,AQS,202090021,1,31,ppb,29,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/13/2020,AQS,202090021,1,31.5,ppb,29,JFK,22,92,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/14/2020,AQS,202090021,1,22.4,ppb,21,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/15/2020,AQS,202090021,1,20.8,ppb,19,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/16/2020,AQS,202090021,1,12.9,ppb,11,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/17/2020,AQS,202090021,1,16.5,ppb,15,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/18/2020,AQS,202090021,1,19.7,ppb,18,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/19/2020,AQS,202090021,1,5.7,ppb,5,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/20/2020,AQS,202090021,1,19.3,ppb,18,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/21/2020,AQS,202090021,1,28.5,ppb,26,JFK,22,92,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/22/2020,AQS,202090021,1,14.2,ppb,13,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/23/2020,AQS,202090021,1,19.5,ppb,18,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/24/2020,AQS,202090021,1,7.7,ppb,7,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/25/2020,AQS,202090021,1,26.1,ppb,25,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/26/2020,AQS,202090021,1,26.2,ppb,25,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/27/2020,AQS,202090021,1,20.6,ppb,19,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/28/2020,AQS,202090021,1,8,ppb,8,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/29/2020,AQS,202090021,1,22.2,ppb,21,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
01/30/2020,AQS,202090021,1,27.6,ppb,25,JFK,24,100,42602,Nitrogen dioxide (NO2),28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
