Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2022,AQS,40191011,1,23.1,ppb,22,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
1/2/2022,AQS,40191011,1,22.1,ppb,21,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
1/3/2022,AQS,40191011,1,32.6,ppb,30,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
1/4/2022,AQS,40191011,1,37.9,ppb,35,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
1/5/2022,AQS,40191011,1,33.9,ppb,31,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
1/6/2022,AQS,40191011,1,38.2,ppb,36,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
1/7/2022,AQS,40191011,1,38.1,ppb,36,22ND & CRAYCROFT,22,92,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
1/8/2022,AQS,40191011,1,31.7,ppb,29,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
1/9/2022,AQS,40191011,1,31.7,ppb,29,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
1/10/2022,AQS,40191011,1,12,ppb,11,22ND & CRAYCROFT,24,100,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
1/11/2022,AQS,40191011,1,27.5,ppb,25,22ND & CRAYCROFT,18,75,42602,Nitrogen dioxide (NO2),46060,"Tucson, AZ",4,Arizona,19,Pima,32.2044107,-110.878067
