Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2022,AQS,200910010,2,7.6,ug/m3 LC,32,HERITAGE PARK,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",20,Kansas,91,Johnson,38.838575,-94.746424
1/1/2022,AQS,202090021,4,10.8,ug/m3 LC,45,JFK,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
1/1/2022,AQS,290370003,4,8.6,ug/m3 LC,36,Richard Gebaur-South,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75961,-94.57983
1/1/2022,AQS,290470005,4,6.4,ug/m3 LC,27,Liberty,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,47,Clay,39.3031741,-94.37701404
1/1/2022,AQS,290950034,4,6.5,ug/m3 LC,27,Troost,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.10468637,-94.57078959
1/1/2022,AQS,290950034,6,11.7,ug/m3 LC,49,Troost,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.10468637,-94.57078959
1/1/2022,AQS,290950042,4,9.6,ug/m3 LC,40,"Blue Ridge, I-70",1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/2/2022,AQS,200910010,2,4.4,ug/m3 LC,18,HERITAGE PARK,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",20,Kansas,91,Johnson,38.838575,-94.746424
1/2/2022,AQS,202090021,2,7.4,ug/m3 LC,31,JFK,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
1/2/2022,AQS,202090021,4,7.6,ug/m3 LC,32,JFK,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
1/2/2022,AQS,290370003,4,4.6,ug/m3 LC,19,Richard Gebaur-South,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75961,-94.57983
1/2/2022,AQS,290470005,4,2.8,ug/m3 LC,12,Liberty,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,47,Clay,39.3031741,-94.37701404
1/2/2022,AQS,290950034,4,6.2,ug/m3 LC,26,Troost,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.10468637,-94.57078959
1/2/2022,AQS,290950034,6,8.5,ug/m3 LC,35,Troost,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.10468637,-94.57078959
1/2/2022,AQS,290950042,4,8,ug/m3 LC,33,"Blue Ridge, I-70",1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.047911,-94.450513
1/3/2022,AQS,200910010,2,4,ug/m3 LC,17,HERITAGE PARK,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",20,Kansas,91,Johnson,38.838575,-94.746424
1/3/2022,AQS,202090021,4,11.8,ug/m3 LC,49,JFK,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",20,Kansas,209,Wyandotte,39.117219,-94.635605
1/3/2022,AQS,290370003,4,7.4,ug/m3 LC,31,Richard Gebaur-South,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,37,Cass,38.75961,-94.57983
1/3/2022,AQS,290470005,4,7.1,ug/m3 LC,30,Liberty,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,47,Clay,39.3031741,-94.37701404
1/3/2022,AQS,290950034,4,6.8,ug/m3 LC,28,Troost,1,100,88101,PM2.5 - Local Conditions,28140,"Kansas City, MO-KS",29,Missouri,95,Jackson,39.10468637,-94.57078959
