Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2022,AQS,530670013,4,7.7,ug/m3 LC,32,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/2/2022,AQS,530670013,4,1.6,ug/m3 LC,7,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/3/2022,AQS,530670013,4,1.6,ug/m3 LC,7,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/4/2022,AQS,530670013,4,2.1,ug/m3 LC,9,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/5/2022,AQS,530670013,4,5.1,ug/m3 LC,21,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/6/2022,AQS,530670013,4,1.1,ug/m3 LC,5,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/7/2022,AQS,530670013,4,1.6,ug/m3 LC,7,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/8/2022,AQS,530670013,4,4.4,ug/m3 LC,18,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/9/2022,AQS,530670013,4,14,ug/m3 LC,55,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/10/2022,AQS,530670013,4,7.4,ug/m3 LC,31,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/11/2022,AQS,530670013,4,1.9,ug/m3 LC,8,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/12/2022,AQS,530670013,4,4.6,ug/m3 LC,19,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/13/2022,AQS,530670013,4,4.7,ug/m3 LC,20,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/14/2022,AQS,530670013,4,4.2,ug/m3 LC,18,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/15/2022,AQS,530670013,4,4.3,ug/m3 LC,18,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/16/2022,AQS,530670013,4,6.3,ug/m3 LC,26,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/17/2022,AQS,530670013,4,5.5,ug/m3 LC,23,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/18/2022,AQS,530670013,4,4.6,ug/m3 LC,19,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/19/2022,AQS,530670013,4,4.3,ug/m3 LC,18,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/20/2022,AQS,530670013,4,1.8,ug/m3 LC,8,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/21/2022,AQS,530670013,4,4.1,ug/m3 LC,17,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/22/2022,AQS,530670013,4,5.8,ug/m3 LC,24,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/23/2022,AQS,530670013,4,9.1,ug/m3 LC,38,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/24/2022,AQS,530670013,4,8.6,ug/m3 LC,36,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/25/2022,AQS,530670013,4,10.6,ug/m3 LC,44,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/26/2022,AQS,530670013,4,9.9,ug/m3 LC,41,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/27/2022,AQS,530670013,4,10.3,ug/m3 LC,43,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/28/2022,AQS,530670013,4,10.2,ug/m3 LC,43,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/29/2022,AQS,530670013,4,9.5,ug/m3 LC,40,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/30/2022,AQS,530670013,4,4.7,ug/m3 LC,20,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
1/31/2022,AQS,530670013,4,2,ug/m3 LC,8,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/1/2022,AQS,530670013,4,4.3,ug/m3 LC,18,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/2/2022,AQS,530670013,4,5.3,ug/m3 LC,22,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/3/2022,AQS,530670013,4,2.4,ug/m3 LC,10,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/4/2022,AQS,530670013,4,2.1,ug/m3 LC,9,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/5/2022,AQS,530670013,4,5.1,ug/m3 LC,21,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/6/2022,AQS,530670013,4,9.3,ug/m3 LC,39,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/7/2022,AQS,530670013,4,4.5,ug/m3 LC,19,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/8/2022,AQS,530670013,4,4.9,ug/m3 LC,20,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/9/2022,AQS,530670013,4,6.3,ug/m3 LC,26,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/10/2022,AQS,530670013,4,5.7,ug/m3 LC,24,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/11/2022,AQS,530670013,4,4.3,ug/m3 LC,18,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/12/2022,AQS,530670013,4,8.5,ug/m3 LC,35,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/13/2022,AQS,530670013,4,10.4,ug/m3 LC,43,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/14/2022,AQS,530670013,4,3.8,ug/m3 LC,16,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/15/2022,AQS,530670013,4,3.6,ug/m3 LC,15,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/16/2022,AQS,530670013,4,5.3,ug/m3 LC,22,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/17/2022,AQS,530670013,4,3.7,ug/m3 LC,15,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/18/2022,AQS,530670013,4,4.2,ug/m3 LC,18,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/19/2022,AQS,530670013,4,2.4,ug/m3 LC,10,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/20/2022,AQS,530670013,4,1.7,ug/m3 LC,7,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/21/2022,AQS,530670013,4,2,ug/m3 LC,8,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/22/2022,AQS,530670013,4,2.7,ug/m3 LC,11,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/23/2022,AQS,530670013,4,5.5,ug/m3 LC,23,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/24/2022,AQS,530670013,4,7,ug/m3 LC,29,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/25/2022,AQS,530670013,4,9.3,ug/m3 LC,39,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/26/2022,AQS,530670013,4,10.1,ug/m3 LC,42,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/27/2022,AQS,530670013,4,3.1,ug/m3 LC,13,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
2/28/2022,AQS,530670013,4,1.1,ug/m3 LC,5,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/1/2022,AQS,530670013,4,1.9,ug/m3 LC,8,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/2/2022,AQS,530670013,4,2.1,ug/m3 LC,9,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/3/2022,AQS,530670013,4,1.3,ug/m3 LC,5,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/4/2022,AQS,530670013,4,2.9,ug/m3 LC,12,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/5/2022,AQS,530670013,4,7,ug/m3 LC,29,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/6/2022,AQS,530670013,4,8.4,ug/m3 LC,35,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/7/2022,AQS,530670013,4,4.8,ug/m3 LC,20,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/8/2022,AQS,530670013,4,3.9,ug/m3 LC,16,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/9/2022,AQS,530670013,4,3.9,ug/m3 LC,16,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/10/2022,AQS,530670013,4,5.2,ug/m3 LC,22,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/11/2022,AQS,530670013,4,6.1,ug/m3 LC,25,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/12/2022,AQS,530670013,4,4.2,ug/m3 LC,18,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/13/2022,AQS,530670013,4,1.6,ug/m3 LC,7,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/14/2022,AQS,530670013,4,2.1,ug/m3 LC,9,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/15/2022,AQS,530670013,4,1.9,ug/m3 LC,8,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
3/16/2022,AQS,530670013,4,2.4,ug/m3 LC,10,LACEY - COLLEGE ST,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,36500,"Olympia-Tumwater, WA",53,Washington,67,Thurston,47.029396,-122.821548
