Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2019,AQS,510870014,3,4.7,ug/m3 LC,20,MathScience Innovation Center,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/1/2019,AQS,517600025,3,4.4,ug/m3 LC,18,Bryan Park,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,760,Richmond City,37.59088,-77.46925
1/2/2019,AQS,510870014,3,5.1,ug/m3 LC,21,MathScience Innovation Center,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/2/2019,AQS,517600025,3,5.6,ug/m3 LC,23,Bryan Park,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,760,Richmond City,37.59088,-77.46925
1/3/2019,AQS,510360002,1,4.6,ug/m3 LC,19,Shirley Plantation,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,36,Charles,37.34438,-77.25925
1/3/2019,AQS,510410004,1,4.9,ug/m3 LC,20,VDOT Chesterfield Residency Shop,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,41,Chesterfield,37.35748,-77.59355
1/3/2019,AQS,510870014,1,6.2,ug/m3 LC,26,MathScience Innovation Center,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/3/2019,AQS,510870014,2,6.4,ug/m3 LC,27,MathScience Innovation Center,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/3/2019,AQS,510870014,3,7.5,ug/m3 LC,31,MathScience Innovation Center,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/3/2019,AQS,510870015,1,5.8,ug/m3 LC,24,DEQ Piedmont Regional Office,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,87,Henrico,37.67132,-77.5664
1/3/2019,AQS,517600025,1,7.2,ug/m3 LC,30,Bryan Park,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,760,Richmond City,37.59088,-77.46925
1/3/2019,AQS,517600025,3,7.7,ug/m3 LC,32,Bryan Park,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,760,Richmond City,37.59088,-77.46925
1/4/2019,AQS,510870014,3,6.9,ug/m3 LC,29,MathScience Innovation Center,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,40060,"Richmond, VA",51,Virginia,87,Henrico,37.55652,-77.40027
1/4/2019,AQS,517600025,3,11.1,ug/m3 LC,46,Bryan Park,1,100,88101,PM2.5 - Local Conditions,40060,"Richmond, VA",51,Virginia,760,Richmond City,37.59088,-77.46925
